gene	wbid	n_strains	fluor_tags	other_tags	cgc_strains
his-45	WBGene00001919	1	Dendra2		
his-48	WBGene00001922	2	GFP		
his-52	WBGene00001926	1	GFP		
his-54	WBGene00001928	1	GFP		
his-55	WBGene00001929	3	Dendra2;eGFP	FLAG;OLLAS;TEV	
his-58	WBGene00001932	1	GFP		
his-59	WBGene00001933	1	Dendra2		
his-6	WBGene00001880	1	Dendra2		
his-61	WBGene00001935	2	GFP		
his-62	WBGene00001936	1	GFP		
his-63	WBGene00001937	1	Dendra2		
his-66	WBGene00001940	1	GFP		
his-69	WBGene00001943	1	GFP		
his-70	WBGene00001944	1	GFP		FAS47
his-71	WBGene00001945	1	GFP		FAS84
his-72	WBGene00001946	20	Dendra2;GFP;Gamillus;mCherry;mNG;mTurquoise;mTurquoise2;smScarlet(11)	AID;FAP;FLAG;HA;Myc	DV3285;DV3651;FAS46;GLW27
his-74	WBGene00012276	2	GFP		FAS32
his-8	WBGene00001882	1	GFP		
hlh-1	WBGene00001948	1	GFP	AID	
hlh-13	WBGene00001957	1	GFP		PHX7685
hlh-14	WBGene00001958	3	eGFP;mNG	FLAG;TY1	RW12346;SYS461
hlh-15	WBGene00001959	1	GFP		PHX7688
hlh-17	WBGene00001961	1	GFP		PHX6303
hlh-2	WBGene00001949	4	GFP;mScarlet	AID	DQM311;GS8949
hlh-25	WBGene00001964	1	mNG		
hlh-26	WBGene00001965	1	GFP		RW12174
hlh-3	WBGene00001950	3	GFP;mNG		NFB1692
hlh-30	WBGene00020930	3	eGFP;mNG	FLAG	VZ892
hlh-31	WBGene00009540	1	GFP		PHX6112
hlh-32	WBGene00013665	2	GFP;eGFP	FLAG;TY1	PHX6078;RW12256
hmg-1.1	WBGene00001971	1	eGFP	FLAG;TY1	RW12311
hmg-1.2	WBGene00001972	1	eGFP	FLAG;TY1	RW12210
hmg-20	WBGene00012209	3	eGFP;mNG	FLAG;TY1	RW12240;SYS477
hmg-3	WBGene00001973	3	GFP;eGFP	FLAG;HA;TY1	RW12234
hmg-4	WBGene00001974	2	GFP	HA	
hmg-5	WBGene00001975	2	GFP;sGFP(11)		FT2064
hmgr-1	WBGene00017268	3	mNG		NK2935;NK2943
hmp-1	WBGene00001978	4	GFP;mScarlet	FLAG;ZF	LP191;SU896
hmr-1	WBGene00001980	5	GFP;mScarlet	AID	LP172;LP322
hnd-1	WBGene00001981	2	mNG		SYS676
hoe-1/elac-2	WBGene00001983	1	GFP		
hpl-1	WBGene00001995	2	mKate2		OH14021
hpl-2	WBGene00001996	2	mKate2		OH14220
hpo-27	WBGene00016418	1	mKate2	TurboID	
hpo-40	WBGene00014113	1	mCherry	HA	
hrpk-1	WBGene00017816	1	GFP		
hsf-1	WBGene00002004	9	GFP;eGFP	AID;FLAG;TY1;degron	JTL611;RW12254
hsp-1	WBGene00002005	1		HA	
hsp-110	WBGene00016250	2	GFP;GFPNovo2	AID;FLAG;TEV	
hsp-12.6	WBGene00002013	1	mKate2		PHX1364
hsp-3	WBGene00002007	2	mScarlet	HA;His;degron	
hsp-4	WBGene00002008	3	mNG;mScarlet	FLAG;HA;V5;degron	GLW47
hsp-70	WBGene00002026	1		FLAG	
hsp-90	WBGene00000915	1		HA	
hsr-9	WBGene00002027	3	GFP	HA;V5	
htp-1	WBGene00002032	2	GFP	FLAG	
htp-3	WBGene00002034	2	eGFP;mScarlet	FLAG;Myc	JH4008
htz-1	WBGene00019947	1	GFP	AID	
hum-1	WBGene00002035	1	RFP		QQ226
hum-2	WBGene00002036	1	mNG		
hum-5	WBGene00002038	1	mNG		
hum-7	WBGene00002040	1	GFP		
hus-1	WBGene00002042	1	mNG		
icl-1	WBGene00001564	1	mCherry		
ida-1	WBGene00002048	2	mScarlet;sGFP(11)		ESC716
