gene	go_term	go_slim_term	cellular_component
swsn-6	GO:0005856;GO:0016514;GO:0035267	GO:0005856;GO:0032991	cytoskeleton;protein-containing complex
swsn-7	GO:0005634;GO:0035060	GO:0005634;GO:0032991	nucleus;protein-containing complex
swsn-9	GO:0005634;GO:0016514	GO:0005634;GO:0032991	nucleus;protein-containing complex
syf-2	GO:0000974;GO:0005681;GO:0071013;GO:0071014;GO:0005634	GO:0005634;GO:0032991	nucleus;protein-containing complex
syf-3	GO:0000974;GO:0071007;GO:0071014;GO:0005634	GO:0005634;GO:0032991	nucleus;protein-containing complex
syg-1	GO:0005886;GO:0005911;GO:0016020;GO:0097060;GO:0030424;GO:0042995;GO:0045202;GO:0098636	GO:0005886;GO:0016020;GO:0030054;GO:0032991;GO:0042995;GO:0043005;GO:0045202	cell junction;cell projection;membrane;neuron projection;plasma membrane;protein-containing complex;synapse
syg-2	GO:0005886;GO:0005911;GO:0016020;GO:0097060;GO:0045202;GO:0098636	GO:0005886;GO:0016020;GO:0030054;GO:0032991;GO:0045202	cell junction;membrane;plasma membrane;protein-containing complex;synapse
sym-2	GO:0005634;GO:0005654;GO:1990904	GO:0005634;GO:0005654;GO:0032991	nucleoplasm;nucleus;protein-containing complex
syx-16	GO:0000139;GO:0016020;GO:0005794;GO:0012505;GO:0031201	GO:0005794;GO:0016020;GO:0032991	Golgi apparatus;membrane;protein-containing complex
syx-5	GO:0000139;GO:0016020;GO:0005794;GO:0012505;GO:0098793;GO:0031201	GO:0005794;GO:0016020;GO:0032991	Golgi apparatus;membrane;protein-containing complex
syx-7	GO:0008021;GO:0012505;GO:0016020;GO:0031201	GO:0016020;GO:0031410;GO:0032991	cytoplasmic vesicle;membrane;protein-containing complex
taco-1	GO:0005737;GO:0005739	GO:0005737;GO:0005739	cytoplasm;mitochondrion
taf-1	GO:0005634;GO:0005669	GO:0005634;GO:0032991	nucleus;protein-containing complex
taf-13	GO:0005634;GO:0005669	GO:0005634;GO:0032991	nucleus;protein-containing complex
taf-2	GO:0005634;GO:0005669	GO:0005634;GO:0032991	nucleus;protein-containing complex
taf-4	GO:0005634;GO:0005669;GO:0005737	GO:0005634;GO:0005737;GO:0032991	cytoplasm;nucleus;protein-containing complex
taf-7.1	GO:0005634;GO:0005669	GO:0005634;GO:0032991	nucleus;protein-containing complex
taf-7.2	GO:0005634;GO:0005669	GO:0005634;GO:0032991	nucleus;protein-containing complex
tag-120	GO:0005783;GO:0005794;GO:0016020	GO:0005783;GO:0005794;GO:0016020	Golgi apparatus;endoplasmic reticulum;membrane
tag-123	GO:0016020	GO:0016020	membrane
tag-151	GO:0005634;GO:0005730	GO:0005634;GO:0005730	nucleolus;nucleus
tag-180	GO:0005891;GO:0034702;GO:0016020	GO:0016020;GO:0032991	membrane;protein-containing complex
tag-191	GO:0005634;GO:0005737;GO:0015630	GO:0005634;GO:0005737;GO:0005856	cytoplasm;cytoskeleton;nucleus
